qid	canonical_name	source	source_name	previous_variants
Q201452	Brian P. Schmidt	nobel	Brian P. Schmidt	Brian P. Schmidt | Brian Schmidt
Q2075967	Peter J. Ratcliffe	nobel	Sir Peter J. Ratcliffe	Peter J. Ratcliffe | Sir Peter J. Ratcliffe
Q207719	Martin J. Evans	nobel	Sir Martin J. Evans	Martin Evans | Sir Martin J. Evans
Q208356	Michael Atiyah	wikipedia	Michael Atiyah	Michael Atiyah | Michael Francis Atiyah
Q211642	Lars Ahlfors	wikipedia	Lars Ahlfors	Lars Valerian Ahlfors | Lars Ahlfors
Q215574	Mario R. Capecchi	nobel	Mario R. Capecchi	Mario R. Capecchi | Mario Renato Capecchi | Mario Capecchi
Q215765	John Milnor	wikipedia	John Milnor	John Milnor | John Willard Milnor
Q2161615	Roger Blandford	wikipedia	Roger Blandford	Roger Blandford | Roger D. Blandford
Q219716	Paul M. Nurse	nobel	Sir Paul M. Nurse	Paul M. Nurse | Paul Nurse | Sir Paul M. Nurse
Q232305	Roger Wolcott Sperry	wikipedia	Roger Wolcott Sperry	Roger Wolcott Sperry | Roger W. Sperry
Q232308	Selman Abraham Waksman	nobel	Selman Abraham Waksman	Selman Waksman | Selman Abraham Waksman
Q233973	John A. Pople	nobel	John A. Pople	John A. Pople | John Pople
Q2344805	Stephen Elledge	wikipedia	Stephen Elledge	Stephen J. Elledge | Stephen Joseph Elledge
Q235651	Philip Showalter Hench	nobel	Philip Showalter Hench	Philip S. Hench | Philip Showalter Hench
Q237142	Ulf von Euler	nobel	Ulf von Euler	Ulf S. von Euler | Ulf von Euler
Q237825	John C. Polanyi	nobel	John C. Polanyi	John C. Polanyi | John Charles Polanyi
Q242169	Roger Guillemin	nobel	Roger Guillemin	Roger Guillemin | Roger C.L. Guillemin
Q243536	Howard Martin Temin	nobel	Howard Martin Temin	Howard M. Temin | Howard Martin Temin
Q253133	Jacques Miller	wikipedia	Jacques Miller	Jacques F.A.P. Miller | Jacques Miller
Q2547334	Yuet Wai Kan	wikipedia	Yuet Wai Kan	Yuet Wai Kan | Yuet-Wai Kan
Q26321	Elizabeth H. Blackburn	nobel	Elizabeth H. Blackburn	Elizabeth H. Blackburn | Elizabeth Blackburn
Q26322	Carol W. Greider	nobel	Carol W. Greider	Carol Greider | Carol W. Greider
Q2638148	Albert Coons	wikipedia	Albert Coons	Albert H. Coons | Albert Coons
Q271532	John E. Sulston	nobel	John E. Sulston	John E. Sulston | John Sulston
Q271757	André Frédéric Cournand	nobel	André Frédéric Cournand	André Cournand | André Frédéric Cournand
Q273769	Godfrey N. Hounsfield	nobel	Godfrey N. Hounsfield	Sir Godfrey N. Hounsfield | Godfrey N. Hounsfield
Q277221	Alexander Polyakov	wikipedia	Alexander Polyakov (physicist)	Alexander Polyakov | Alexander Markovich Polyakov
Q28212107	Frederick J. Ramsdell	nobel	Frederick J. Ramsdell	Fred Ramsdell | Frederick J. Ramsdell
Q284129	Charles Fefferman	wikipedia	Charles Fefferman	Charles Louis Fefferman | Charles Fefferman
Q295768	Bengt I. Samuelsson	nobel	Bengt I. Samuelsson	Bengt Samuelsson | Bengt I. Samuelsson
Q313168	John G. Thompson	wikipedia	John G. Thompson	John G. Thompson | John Griggs Thompson
Q315414	Israel Gelfand	wikipedia	Israel Gelfand	Izrail Moiseevich Gelfand | Israel Gelfand
Q315439	George Uhlenbeck	wikipedia	George Uhlenbeck	George Uhlenbeck | George E. Uhlenbeck
Q323320	Kip S. Thorne	nobel	Kip S. Thorne	Kip Thorne | Kip S. Thorne
Q325705	Grigory Margulis	wikipedia	Grigory Margulis	Grigory Margulis | Gregori Aleksandrovitch Margulis | Gregory Margulis
Q328131	Shiing-Shen Chern	wikipedia	Shiing-Shen Chern	Shiing-Shen Chern (陳省身) | Shiing-Shen Chern
Q333538	Enrico Bombieri	wikipedia	Enrico Bombieri	Enrico Bombieri | Enrico E Bombieri
Q333975	Sergei Novikov	wikipedia	Sergei Novikov (mathematician)	Serge P. Novikov | Sergei Novikov
