primary_country	prefix_8	variants_in_group	primary_affiliation_name	additional_affiliations	additional_countries	multi_value	affiliation_value_count	country_value_count	award_record_count	award_record_ids
Russia	steklov 	2	Steklov Institute of Mathematics			no	1	1	4	crafoord-000001,max_planck_medal-000060,shaw_prize-000025,shaw_prize-000026
Russia	steklov 	2	Steklov Mathematical Institute			no	1	1	2	fields-000035,wolf_prize-000202
Sweden	karolins	2	Karolinska Institutet			no	1	1	12	crafoord-000057,gairdner_international_award-000017,gairdner_international_award-000019,gairdner_international_award-000082,gairdner_international_award-000107,gairdner_international_award-000137,lasker_awards-000176,lasker_awards-000178,nobel-000381,nobel-000406,nobel-000531,nobel-000532
Sweden	karolins	2	Karolinska Institutet, Nobel Medical Institute			no	1	1	1	nobel-000289
Sweden	stockhol	2	Stockholm School of Economics			no	1	1	1	nobel-000474
Sweden	stockhol	2	Stockholm University			no	1	1	5	fields-000059,max_planck_medal-000025,nobel-000014,nobel-000146,nobel-000208
Sweden	universi	2	University Hospital of Lund			no	1	1	1	lasker_awards-000180
Sweden	universi	2	University of Gothenburg			no	1	1	5	gairdner_international_award-000146,japan_prize-000027,nobel-000713,wolf_prize-000015,wolf_prize-000033
Switzerland	biozentr	2	Biozentrum University of Basel			no	1	1	3	breakthrough-000028,gairdner_international_award-000331,lasker_awards-000381
Switzerland	biozentr	2	Biozentrum der Universität			no	1	1	1	nobel-000487
Switzerland	cern	2	CERN			no	1	1	13	breakthrough-000022,breakthrough-000131,breakthrough-000132,breakthrough-000133,breakthrough-000134,breakthrough-000135,breakthrough-000136,max_planck_medal-000039,max_planck_medal-000062,max_planck_medal-000064,nobel-000551,nobel-000552,nobel-000592
Switzerland	cern	2	CERN	Brookhaven National Laboratory; Fermilab	United States	yes	3	2	1	breakthrough-000121
Switzerland	swiss fe	3	Swiss Federal Institute of Technology (ETH)			no	1	1	4	wolf_prize-000078,wolf_prize-000113,wolf_prize-000129,wolf_prize-000132
Switzerland	swiss fe	3	Swiss Federal Institute of Technology in Lausanne, Switzerland			no	1	1	1	fields-000005
Switzerland	swiss fe	3	Swiss Federal Institute of Technology in Zurich, Switzerland			no	1	1	1	fields-000010
Switzerland	universi	4	University of Basel			no	1	1	3	gairdner_international_award-000185,gairdner_international_award-000243,kyoto_prize-000050
Switzerland	universi	4	University of Geneva			no	1	1	9	fields-000008,fields-000019,kyoto_prize-000098,max_planck_medal-000041,nobel-000949,nobel-000950,shaw_prize-000008,wolf_prize-000320,wolf_prize-000321
Switzerland	universi	4	University of Lausanne			no	1	1	1	nobel-000912
Switzerland	universi	4	University of Zurich			no	1	1	7	gairdner_international_award-000177,lasker_awards-000262,max_planck_medal-000034,nobel-000075,nobel-000192,nobel-000247,nobel-000670
United Kingdom	central 	2	Central Research Laboratories EMI, Ltd.			no	1	1	1	lasker_awards-000169
United Kingdom	central 	2	Central Research Laboratories, EMI			no	1	1	1	nobel-000501
United Kingdom	imperial	4	Imperial College London			no	1	1	8	breakthrough-000093,crafoord-000033,kyoto_prize-000121,nobel-000392,nobel-000416,nobel-000429,shaw_prize-000031,wolf_prize-000340
United Kingdom	imperial	4	Imperial College London, Kennedy Institute of Rheumatology			no	1	1	2	lasker_awards-000310,lasker_awards-000311
United Kingdom	imperial	4	Imperial College of Science			no	1	1	1	wolf_prize-000089
United Kingdom	imperial	4	Imperial College of Science and Technology			no	1	1	1	lasker_awards-000182
United Kingdom	medical 	3	Medical Research Council			no	1	1	4	gairdner_international_award-000086,lasker_awards-000142,wolf_prize-000024,wolf_prize-000025
United Kingdom	medical 	3	Medical Research Council, Cambridge, England			no	1	1	1	lasker_awards-000216
United Kingdom	medical 	3	Medical Research Council, Mammalian Genetics Unit			no	1	1	1	wolf_prize-000172
United Kingdom	national	2	National Institute for Medical Research			no	1	1	2	nobel-000186,nobel-000266
United Kingdom	national	2	National Physical Laboratory			no	1	1	1	turing_award-000005
United Kingdom	the well	2	The Wellcome Research Laboratories			no	1	1	1	nobel-000533
United Kingdom	the well	2	The Wellcome Trust Sanger Institute			no	1	1	1	nobel-000743
United Kingdom	universi	19	University College			no	1	1	7	nobel-000009,nobel-000021,nobel-000085,nobel-000326,nobel-000348,nobel-000405,nobel-000882
United Kingdom	universi	19	University College London			no	1	1	4	breakthrough-000048,gairdner_international_award-000035,lasker_awards-000102,lasker_awards-000173
United Kingdom	universi	19	University of Aberdeen			no	1	1	1	lasker_awards-000181
United Kingdom	universi	19	University of Birmingham			no	1	1	1	max_planck_medal-000029
United Kingdom	universi	19	University of Bristol			no	1	1	1	wolf_prize-000180
United Kingdom	universi	19	University of Cambridge			no	1	1	53	breakthrough-000023,breakthrough-000099,crafoord-000023,crafoord-000025,crafoord-000035,crafoord-000041,crafoord-000076,fields-000009,fields-000027,fields-000028,fields-000051,gairdner_international_award-000040,gairdner_international_award-000246,gairdner_international_award-000344,gairdner_international_award-000373,gairdner_international_award-000376,japan_prize-000018,kyoto_prize-000022,kyoto_prize-000125,lasker_awards-000098,lasker_awards-000139,lasker_awards-000298,lasker_awards-000302,lasker_awards-000332,lasker_awards-000337,lasker_awards-000354,max_planck_medal-000018,nobel-000037,nobel-000108,nobel-000140,nobel-000149,nobel-000166,nobel-000172,nobel-000301,nobel-000307,nobel-000347,nobel-000439,nobel-000450,nobel-000451,nobel-000475,nobel-000482,nobel-000545,nobel-000666,nobel-000837,shaw_prize-000111,turing_award-000002,wolf_prize-000108,wolf_prize-000112,wolf_prize-000117,wolf_prize-000137,wolf_prize-000153,wolf_prize-000254,wolf_prize-000382
United Kingdom	universi	19	University of Edinburgh			no	1	1	10	abel_prize-000002,gairdner_international_award-000309,max_planck_medal-000012,max_planck_medal-000047,nobel-000876,shaw_prize-000022,shaw_prize-000056,shaw_prize-000069,turing_award-000030,wolf_prize-000223
United Kingdom	universi	19	University of Hull			no	1	1	1	kyoto_prize-000031
United Kingdom	universi	19	University of Leicester			no	1	1	1	lasker_awards-000320
United Kingdom	universi	19	University of Liverpool			no	1	1	2	gairdner_international_award-000111,max_planck_medal-000037
