prefix,affiliation_name,award_record_count
"state ","State University of New York at Stony Brook",2
"state ","State University of New York, Health Science Center at Brooklyn",1
steklo,"Steklov Institute of Mathematics",4
steklo,"Steklov Mathematical Institute",2
stockh,"Stockholm School of Economics",1
stockh,"Stockholm University",4
stockh,"Stockholm University, Sweden",1
"stony ","Stony Brook University",6
"stony ","Stony Brook University; Imperial College London",1
"swiss ","Swiss Federal Institute of Technology (ETH)",4
"swiss ","Swiss Federal Institute of Technology in Lausanne, Switzerland",1
"swiss ","Swiss Federal Institute of Technology in Zurich, Switzerland",1
techni,"Technical University",2
techni,"Technical University of Darmstadt",1
techni,"Technical University of Munich",3
techni,"Technion – Israel Institute of Technology",9
techni,"Technische Hochschule (Institute of Technology)",1
techni,"Technische Universität Berlin",1
"texas ","Texas A&M University",5
"texas ","Texas Instruments",2
"the ch","The Chinese University of Hong Kong",3
"the ch","The Christopher Reeve Paralysis Foundation",1
"the in","The Institute for Cancer Research",1
"the in","The Institute for Genomic Research",1
"the in","The Institute of Physical and Chemical Research (RIKEN), Frontier Research Program",1
"the oh","The Ohio State University",2
"the oh","The Ohio State University, Carbon Management and Sequestration Center",1
"the ro","The Rockefeller Foundation",2
"the ro","The Rockefeller Institute",7
"the ro","The Rockefeller University (Rockefeller Institute)",1
"the sa","The Sainsbury Laboratory",1
"the sa","The Salk Institute",4
"the sa","The Salk Institute for Biological Studies",3
"the sa","The Samuel Lunenfeld Research Institute of Mount Sinai Hospital",1
"the un","The University of Chicago",2
"the un","The University of Liverpool",1
"the un","The University of Massachusetts Medical School",1
"the un","The University of Osaka",1
"the un","The University of Texas at Austin",1
"the un","The University of Tokyo",3
"the we","The Wellcome Research Laboratories",1
"the we","The Wellcome Trust Sanger Institute",1
tohoku,"Tohoku Institute of Technology",1
tohoku,"Tohoku University",1
"tokyo ","Tokyo Institute of Technology",6
"tokyo ","Tokyo University of Education",1
toulou,"Toulouse School of Economics (TSE)",1
toulou,"Toulouse University",1
united,"United Nations Children’s Fund",1
united,"United States Children’s Bureau",1
united,"United States House of Representatives",2
united,"United States President",1
united,"United States Public Health Service",1
united,"United States Senate",3
univer,"Universite de Paris",1
univer,"University at Albany (SUNY)",1
univer,"University Centre of Health Sciences",1
univer,"University College",7
univer,"University College Dublin",1
univer,"University College London",4
